"Name action", "Timestamp action"
"Get all budget candidates","2020-04-20T22:28:33.879786"
"Get all candidates from csv","2020-04-20T22:29:00.169213"
"Get all budget candidates","2020-04-20T22:29:04.076963600"
"Get all candidates from csv","2020-04-20T22:29:57.738355600"
"Get all budget candidates","2020-04-20T22:30:03.986118500"
"Get all candidates from csv","2020-04-20T22:30:54.344927400"
"Get all candidates","2020-04-20T22:30:58.735944900"
"Get all candidates from csv","2020-04-20T22:31:53.318064900"
"Get all budget candidates","2020-04-20T22:31:55.799742800"
"Get all candidates from csv","2020-04-20T22:32:53.246298700"
"Get all budget candidates","2020-04-20T22:32:57.539400100"
"Get all candidates from csv","2020-04-20T22:33:02.211753200"
"Delete a candidate by CNP","2020-04-20T22:33:23.327160700"
"Get all candidates from csv","2020-04-20T22:33:39.439502500"
"Get all candidates","2020-04-20T22:33:48.221338800"
"Get all candidates from csv","2020-04-20T22:35:26.100956800"
"Get all budget candidates","2020-04-20T22:35:29.385506200"
"Get all candidates from csv","2020-04-20T22:35:40.037976400"
"Get all countryside candidates","2020-04-20T22:35:48.419649200"
"Get all candidates from csv","2020-04-20T22:35:59.467549600"
"Delete a candidate by CNP","2020-04-20T22:36:10.331030700"
"Get all candidates","2020-04-20T22:36:10.332028400"
"Get all candidates from csv","2020-04-20T22:36:15.580085700"
"Get all budget candidates","2020-04-20T22:36:27.035752600"
"Get all candidates from csv","2020-04-20T22:38:05.311968800"
"Get all budget candidates","2020-04-20T22:38:09.022889800"
"Get all candidates from csv","2020-04-20T22:38:23.612443500"
"Get all budget candidates","2020-04-20T22:38:31.498690300"
"Get all candidates from csv","2020-04-20T22:39:06.250558200"
"Get all budget candidates","2020-04-20T22:39:16.326396100"
"Get all candidates from csv","2020-04-20T22:40:04.890017900"
"Get all budget candidates","2020-04-20T22:40:13.012441200"
"Get all candidates from csv","2020-04-20T22:54:52.705858800"
"Get all budget candidates","2020-04-20T22:54:56.483313400"
"Get all candidates from csv","2020-04-20T23:40:54.187846100"
"Get all candidates from csv","2020-04-21T00:12:50.432359300"
"Get all applications from csv","2020-04-21T00:12:50.458293600"
"Get all candidates from csv","2020-04-21T00:14:32.163440"
"Get all applications from csv","2020-04-21T00:14:32.189205600"
"Get all candidates from csv","2020-04-21T00:16:28.505786200"
"Get all applications from csv","2020-04-21T00:16:28.528447300"
"Get all the applications","2020-04-21T00:19:20.873996"
"Get all candidates from csv","2020-04-21T00:19:48.395003900"
"Get all applications from csv","2020-04-21T00:19:48.417029400"
"Get applications by faculty name","2020-04-21T00:19:53.264890200"
"Get all candidates from csv","2020-04-21T00:22:40.040653100"
"Get all applications from csv","2020-04-21T00:22:40.072672900"
"Get all the applications","2020-04-21T00:22:45.982121300"
"Get all candidates from csv","2020-04-21T00:24:02.850281"
"Get all applications from csv","2020-04-21T00:24:02.875586100"
"Get all the applications","2020-04-21T00:24:07.578443900"
"Get all candidates from csv","2020-04-21T00:27:04.978207700"
"Get all applications from csv","2020-04-21T00:27:05.003155900"
"Get all the applications","2020-04-21T00:27:09.105331900"
"Get all candidates from csv","2020-04-21T00:28:30.825726400"
"Get all applications from csv","2020-04-21T00:28:30.864703800"
"Get all the applications","2020-04-21T00:28:36.344643400"
"Get all candidates from csv","2020-04-21T00:28:57.699409500"
"Get all applications from csv","2020-04-21T00:28:57.727907500"
"Get all the applications","2020-04-21T00:29:02.817007600"
"Get all candidates from csv","2020-04-21T00:29:24.121704"
"Get all applications from csv","2020-04-21T00:29:24.143760900"
"Get all the applications","2020-04-21T00:29:30.167355400"
"Get all candidates from csv","2020-04-21T00:29:42.100531800"
"Get all applications from csv","2020-04-21T00:29:42.124138"
"Get all the applications","2020-04-21T00:29:48.046015800"
"Get all candidates from csv","2020-04-21T00:31:00.789939500"
"Get all applications from csv","2020-04-21T00:31:00.825425100"
"Get all the applications","2020-04-21T00:31:04.361104600"
"Get all candidates from csv","2020-04-21T00:33:46.637354900"
