"Load all faculties from csv","2020-05-15T20:44:21.244529900"
"Load all specializations from csv","2020-05-15T20:44:21.251511400"
"Load all candidates from csv","2020-05-15T20:44:21.252508800"
"Load all applications from csv","2020-05-15T20:44:21.254503100"
