Get all specializations from a faculty,2020-06-03T22:45:01.467996,http-nio-8080-exec-3
Get applications to the the budget by faculty code,2020-06-03T22:45:01.483594,http-nio-8080-exec-3
Get a specialization,2020-06-03T22:45:01.568233,http-nio-8080-exec-3
Get applications to the the budget by faculty code,2020-06-03T22:45:01.568233,http-nio-8080-exec-3
Get a specialization,2020-06-03T22:45:01.615080100,http-nio-8080-exec-3
Get applications to the the budget by faculty code,2020-06-03T22:45:01.615080100,http-nio-8080-exec-3
Get a specialization,2020-06-03T22:45:01.687600700,http-nio-8080-exec-3
Get all specializations from a faculty,2020-06-03T22:45:05.521943900,http-nio-8080-exec-4
Get all specializations from a faculty,2020-06-03T22:45:06.353951200,http-nio-8080-exec-5
Get applications to the the toll by faculty code,2020-06-03T22:45:06.361964900,http-nio-8080-exec-5
Get a specialization,2020-06-03T22:45:06.361964900,http-nio-8080-exec-5
Get all specializations from a faculty,2020-06-03T22:45:07.865185600,http-nio-8080-exec-6
Get all specializations from a faculty,2020-06-03T22:45:10.044886600,http-nio-8080-exec-7
Get applications to the the toll by faculty code,2020-06-03T22:45:10.048879100,http-nio-8080-exec-7
Get a specialization,2020-06-03T22:45:10.103730100,http-nio-8080-exec-7
Get applications to the the toll by faculty code,2020-06-03T22:45:10.108716300,http-nio-8080-exec-7
Get a specialization,2020-06-03T22:45:10.140269500,http-nio-8080-exec-7
Get applications to the the toll by faculty code,2020-06-03T22:45:10.140269500,http-nio-8080-exec-7
Get a specialization,2020-06-03T22:45:10.189650300,http-nio-8080-exec-7
Add a new candidate,2020-06-03T22:45:35.956407800,addCandidateThread
Add a new candidate,2020-06-03T22:46:20.604499400,addCandidateThread
Get a candidate by CNP,2020-06-03T22:46:32.627071700,http-nio-8080-exec-6
Add a new app,2020-06-03T22:46:32.627071700,addAppThread
Get all specializations from a faculty,2020-06-03T22:47:04.141253500,http-nio-8080-exec-9
Get all specializations from a faculty,2020-06-03T22:47:05.710308500,http-nio-8080-exec-10
Get all specializations from a faculty,2020-06-03T23:00:42.097397100,http-nio-8080-exec-5
