"Load all faculties from csv","2020-05-15T20:44:21.244529900"
"Load all specializations from csv","2020-05-15T20:44:21.251511400"
"Load all candidates from csv","2020-05-15T20:44:21.252508800"
"Load all applications from csv","2020-05-15T20:44:21.254503100"
"Load all faculties from csv","2020-05-15T21:24:31.682092400"
"Load all specializations from csv","2020-05-15T21:24:31.691067600"
"Load all candidates from csv","2020-05-15T21:24:31.692065400"
"Load all applications from csv","2020-05-15T21:24:31.693062700"
